City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
525,pasewalk,53.5063,13.99,10.3,62,100,4.33,DE,2023-03-29 15:42:00
526,la romana,18.4273,-68.9728,29.2,70,40,5.14,DO,2023-03-29 15:42:00
527,magistralnyy,56.1725,107.4458,2.29,99,100,2.88,RU,2023-03-29 15:42:01
528,yeppoon,-23.1333,150.7333,22.88,86,6,2.17,AU,2023-03-29 15:42:01
529,camacha,33.0833,-16.3333,22.68,60,20,3.09,PT,2023-03-29 15:42:01
530,sooke,48.3746,-123.7276,10.32,48,4,2.06,CA,2023-03-29 15:37:52
531,tiarei,-17.5333,-149.3333,25.56,78,50,3.38,PF,2023-03-29 15:42:02
532,nizwa,22.9333,57.5333,25.22,24,0,3.09,OM,2023-03-29 15:42:02
533,bosaso,11.2842,49.1816,28.47,72,31,0.92,SO,2023-03-29 15:42:02
534,alappuzha,9.49,76.3264,27.83,78,67,4.29,IN,2023-03-29 15:42:03
535,jacareacanga,-6.2222,-57.7528,30.62,66,99,1.18,BR,2023-03-29 15:42:03
536,comodoro rivadavia,-45.8667,-67.5,10.92,35,20,11.32,AR,2023-03-29 15:42:04
537,hammerfest,70.6634,23.6821,-3.75,86,75,5.14,NO,2023-03-29 15:42:04
538,ondangwa,-17.9167,15.95,29.29,38,83,2.71,,2023-03-29 15:42:05
539,grand gaube,-20.0064,57.6608,27.22,73,71,2.24,MU,2023-03-29 15:42:05
540,christchurch,-43.5333,172.6333,8.86,75,100,7.2,NZ,2023-03-29 15:41:29
541,fort nelson,58.8053,-122.7002,-0.23,94,100,3.13,CA,2023-03-29 15:42:05
542,campo formoso,-10.5075,-40.3214,30.85,37,47,4.2,BR,2023-03-29 15:37:52
543,palmer,42.1584,-72.3287,10.1,40,20,3.6,US,2023-03-29 15:42:06
544,pastavy,55.1168,26.8326,1.37,53,99,6.3,BY,2023-03-29 15:42:07
545,sonoita,31.85,-112.8333,19.1,13,1,3.06,MX,2023-03-29 15:42:07
546,utena,55.5,25.6,0.9,53,18,5.31,LT,2023-03-29 15:42:08
547,athabasca,54.7169,-113.2854,-3.77,80,100,1.08,CA,2023-03-29 15:42:08
548,zuenoula,7.4292,-6.0431,35.53,35,34,3.34,CI,2023-03-29 15:42:08
549,mago,53.2514,140.1822,-3.2,93,89,1.51,RU,2023-03-29 15:42:09
550,sawtell,-30.3833,153.1,22.01,83,89,3.09,AU,2023-03-29 15:42:10
551,zemio,5.0314,25.1361,30.32,43,57,1.62,CF,2023-03-29 15:42:10
552,xichang,27.8964,102.2634,10.61,83,34,2.0,CN,2023-03-29 15:42:10
553,muroto,33.2833,134.15,14.36,61,82,2.71,JP,2023-03-29 15:42:10
554,aksu,41.1231,80.2644,16.45,14,93,3.42,CN,2023-03-29 15:42:11
555,marawi,7.9986,124.2928,20.47,95,100,0.12,PH,2023-03-29 15:42:11
556,luau,-10.7073,22.2247,22.73,87,69,0.99,AO,2023-03-29 15:42:12
557,petrolina,-9.3986,-40.5008,31.03,48,40,4.12,BR,2023-03-29 15:39:33
558,mandalgovi,45.7625,106.2708,4.83,24,0,1.81,MN,2023-03-29 15:42:12
